time,ShortWave,LongWave,AirTemp,RelHum,WindSpeed,Rain,Snow
2018-10-06 02:00:00,0,433.824590163934,20.33,99.7,1.16553587262295,0,0
2018-10-06 03:00:00,0,433.167213114754,20.12,99.7,1.24959111786885,0,0
2018-10-06 04:00:00,0,429.547540983607,20.17,99.7,1.07244258081967,0,0
2018-10-06 05:00:00,0,430.845901639344,19.98,99.7,1.11759587262295,0,0
2018-10-06 06:00:00,3.39422950819672,430.039344262295,19.87,99.8,0.871424918852459,0,0
2018-10-06 07:00:00,43.3124590163934,428.473770491803,19.65,100,0.72516691704918,0,0
2018-10-06 08:00:00,130.190163934426,428.072131147541,19.78,99.8,1.33315140001639,0,0
2018-10-06 09:00:00,136.243606557377,430.639344262295,19.88,99.9,1.8565672852459,0,0
2018-10-06 10:00:00,143.627868852459,431.190163934426,20.11,99.8,1.33386634918033,0,0
2018-10-06 11:00:00,204.65737704918,432.709836065574,20.72,95.6,1.41159689491803,0,0
2018-10-06 12:00:00,151.419672131148,436.724590163934,21.45,91.7,1.39559248852459,0,0
2018-10-06 13:00:00,249.236065573771,435.355737704918,21.69,91.2,1.60977298688525,0,0
2018-10-06 14:00:00,244.883606557377,438.560655737705,22.18,88.5,1.82171692459016,0,0
2018-10-06 15:00:00,125.015901639344,442.760655737705,22.63,86.9,1.71535074754098,0,0
2018-10-06 16:00:00,66.1740983606557,432.134426229508,22.57,89.5,1.26753879508197,0,0
2018-10-06 17:00:00,10.5375901639344,435.640983606557,22.28,92,0.892360831147541,0,0
2018-10-06 18:00:00,0.0080327868852459,432.322950819672,22.06,93.9,0.689399894918033,0,0
2018-10-06 19:00:00,0,427.045901639344,21.85,96.1,0.623457260163934,0,0
2018-10-06 20:00:00,0,429.111475409836,21.74,97.3,0.42656445442623,0,0
2018-10-06 21:00:00,0,435.352459016393,21.63,97.7,1.32946647868852,0,0
2018-10-06 22:00:00,0,430.695081967213,21.46,96.9,0.600431438,0,0
2018-10-06 23:00:00,0,437.070491803279,21.16,98.2,0.715707235245902,0,0
2018-10-07 00:00:00,0,436.603278688525,21.42,96.8,0.317943409360656,0,0
2018-10-07 01:00:00,0,429.177049180328,21.47,96.5,0.366891632131148,0,0
2018-10-07 02:00:00,0,415.386885245902,21.2,98.5,0.577570604262295,0,0
2018-10-07 03:00:00,0,385.901639344262,20.6,99.1,0.710592440327869,0,0
2018-10-07 04:00:00,0,390.345901639344,19.97,99.6,1.26068239152459,0,0
2018-10-07 05:00:00,0,377.172131147541,19.81,99.7,1.49781537704918,0,0
2018-10-07 06:00:00,9.23218032786885,375.337704918033,19.34,99.9,1.54456373114754,0,0
2018-10-07 07:00:00,47.7911475409836,375.683606557377,19.53,100,1.00188014754098,0,0
2018-10-07 08:00:00,212.4,381.940983606557,20.62,99.8,1.28075666721311,0,0
2018-10-07 09:00:00,504.111475409836,394.362295081967,22.82,85.6,0.917476553278688,0,0
2018-10-07 10:00:00,649.124590163934,401.903278688525,24.52,79.68,1.12729393409836,0,0
2018-10-07 11:00:00,724.565573770492,416.544262295082,27.58,76.87,2.8028627704918,0,0
2018-10-07 12:00:00,668.155737704918,418.475409836066,28.38,71.32,1.84179117868852,0,0
2018-10-07 13:00:00,213.777049180328,440.955737704918,27.36,73.42,0.868051686885246,0,0
2018-10-07 14:00:00,386.768852459016,438.326229508197,25.83,86,1.39225590163934,0,0
2018-10-07 15:00:00,128.399344262295,435.063934426229,25.85,85.9,1.00582167377049,0,0
2018-10-07 16:00:00,59.8677049180328,417.33606557377,25.63,90.7,0.856428802459016,0,0
2018-10-07 17:00:00,17.0562295081967,404.47868852459,24.98,90.4,0.937349193409836,0,0
2018-10-07 18:00:00,0,398.231147540984,23.88,94.3,0.63966335147541,0,0
2018-10-07 19:00:00,0,393.932786885246,22.95,96.3,0.884312747540984,0,0
2018-10-07 20:00:00,0,390.173770491803,22.28,96.5,1.49532217540984,0,0
2018-10-07 21:00:00,0,387.6,21.69,98,1.58060567704918,0,0
2018-10-07 22:00:00,0,387.547540983607,21.52,99.1,0.889115899180328,0,0
2018-10-07 23:00:00,0,398.268852459016,21.47,99.3,1.17706710491803,0,0
2018-10-08 00:00:00,0,404.780327868852,21.12,99.5,1.34825749672131,0,0
2018-10-08 01:00:00,0,401.418032786885,21.09,99.5,1.32306845737705,0,0
2018-10-08 02:00:00,0,404.298360655738,20.95,99.6,1.41687663114754,0,0
2018-10-08 03:00:00,0,409.886885245902,20.67,99.5,1.25782252622951,0,0
2018-10-08 04:00:00,0,383.683606557377,20.62,99.6,1.15499457540984,0,0
2018-10-08 05:00:00,0,376.577049180328,20.32,99.7,1.3388345557377,0,0
2018-10-08 06:00:00,8.67585245901639,377.231147540984,19.83,99.8,1.66240605901639,0,0
2018-10-08 07:00:00,63.4745901639344,397.893442622951,19.84,99.8,1.24392634508197,0,0
2018-10-08 08:00:00,176.416393442623,408.022950819672,20.74,99.7,0.835071229180328,0,0
2018-10-08 09:00:00,329.513114754098,421.927868852459,22.84,89.6,1.49660546393443,0,0
2018-10-08 10:00:00,386.931147540984,434.445901639344,23.88,83.8,1.62412749016393,0,0
2018-10-08 11:00:00,374.396721311475,440.965573770492,26.37,81.8,2.20184468852459,0,0
2018-10-08 12:00:00,626.05737704918,417.190163934426,25.68,82.4,2.00616185901639,0,0
2018-10-08 13:00:00,558.165573770492,423.575409836066,26.59,74.37,2.46046365508197,0,0
2018-10-08 14:00:00,482.222950819672,412.708196721311,26.24,73.71,2.24492651639344,0,0
2018-10-08 15:00:00,359.711475409836,407.040983606557,25.96,75.51,1.93112627540984,0,0
2018-10-08 16:00:00,142.021147540984,417.234426229508,26.22,69.11,1.12558897213115,0,0
2018-10-08 17:00:00,14.1177540983607,408.780327868852,25.31,82.4,0.655136136393443,0,0
2018-10-08 18:00:00,0,396.924590163934,22.65,91.3,0.684450054590164,0,0
2018-10-08 19:00:00,0.124688524590164,412.272131147541,21.77,92.3,0.828031501934426,0,0
2018-10-08 20:00:00,0,400.396721311475,23.02,82.4,1.18377684754098,0,0
2018-10-08 21:00:00,0,425.84262295082,22.72,83.6,1.2493161147541,0,0
2018-10-08 22:00:00,0,425.119672131148,22.4,85.7,1.55235511967213,0,0
2018-10-08 23:00:00,0,433.629508196721,21.82,89.6,1.42958118360656,0,0
2018-10-09 00:00:00,0,434.05737704918,21.18,94.5,1.58381393442623,0,0
2018-10-09 01:00:00,0,434.406557377049,20.7,96.1,1.40963527344262,0,0
2018-10-09 02:00:00,0,432.939344262295,20.35,98.9,1.49436886229508,0,0
2018-10-09 03:00:00,0,431.544262295082,20.23,99.6,1.14700153770492,0,0
2018-10-09 04:00:00,0,429.53606557377,20.01,99.6,1.16119100081967,0,0
2018-10-09 05:00:00,0,427.244262295082,19.88,99,0.976562742622951,0,0
2018-10-09 06:00:00,6.77922950819672,427.55737704918,19.79,98.5,1.34893579672131,0,0
2018-10-09 07:00:00,50.624262295082,416.222950819672,19.72,99.1,1.43453104098361,0,0
2018-10-09 08:00:00,110.631147540984,412.437704918033,19.94,95.7,1.29905261344262,0,0
2018-10-09 09:00:00,182.618032786885,425.640983606557,20.33,93.6,1.50157357213115,0,0
2018-10-09 10:00:00,248.52131147541,425.308196721311,21.05,90.3,1.79878275901639,0,0
2018-10-09 11:00:00,340.185245901639,427.929508196721,21.74,85.6,2.24239653278689,0,0
2018-10-09 12:00:00,296.586885245902,425.604918032787,22.46,80.5,2.01868310491803,0,0
2018-10-09 13:00:00,362.790163934426,414.893442622951,22.4,84.1,2.02187299016393,0,0
2018-10-09 14:00:00,402.191803278688,408.381967213115,23.14,79.26,1.52817431147541,0,0
2018-10-09 15:00:00,80.1793442622951,441.354098360656,24.29,74.19,1.42219320278689,0,0
2018-10-09 16:00:00,27.1968852459016,443.381967213115,22.4,84.9,1.37980802786885,0.042672,0
2018-10-09 17:00:00,9.85539344262295,438.985245901639,20.99,96.2,0.647143083934426,0.018288,0
2018-10-09 18:00:00,0,434.427868852459,20.98,97,1.05005838177049,0.067056,0
2018-10-09 19:00:00,0,432.359016393443,20.39,98.9,0.927999519508197,0,0
2018-10-09 20:00:00,0,432.262295081967,20.47,97.2,1.20418112131148,0,0
2018-10-09 21:00:00,0,430.850819672131,20.37,95.5,0.806050617786885,0,0
2018-10-09 22:00:00,0.0713606557377049,431.790163934426,20.52,94.3,1.29485443770492,0,0
2018-10-09 23:00:00,0,433.839344262295,20.64,97.7,1.57853413229508,0,0
2018-10-10 00:00:00,0,433.939344262295,20.45,99.6,2.19819656557377,0,0
2018-10-10 01:00:00,0,433.014754098361,20.2,99.6,2.34469291803279,0,0
2018-10-10 02:00:00,0,432.054098360656,20.08,99.5,2.2148425442623,0,0
2018-10-10 03:00:00,0,431.385245901639,20.04,99.6,1.83673138032787,0.006096,0
2018-10-10 04:00:00,0,430.772131147541,19.93,99.6,2.15078827868852,0,0
2018-10-10 05:00:00,0,430.085245901639,19.78,99.6,1.80672083442623,0,0
2018-10-10 06:00:00,2.5353606557377,429.565573770492,19.77,99.6,1.93457283114754,0.006096,0
2018-10-10 07:00:00,19.0298852459016,429.683606557377,19.84,99.6,1.62713405901639,0,0
2018-10-10 08:00:00,50.6024590163934,431.303278688525,19.86,99.6,1.24112137262295,0.006096,0
2018-10-10 09:00:00,60.1873770491803,432.52131147541,19.97,99.6,1.37194331344262,0.012192,0
2018-10-10 10:00:00,79.577868852459,433.414754098361,20.16,99.6,1.47832778540984,0.036576,0
