date,hour,depth,value,variable
2018-09-06,0,2,25.38468833,temperature
2018-09-06,0,3,21.57688833,temperature
2018-09-06,0,4,16.93384167,temperature
2018-09-06,0,5,12.87433167,temperature
2018-09-06,0,6,12.16345833,temperature
2018-09-06,0,7,12.153165,temperature
2018-09-06,0,8,12.132815,temperature
2018-09-06,0,9,12.13922167,temperature
2018-09-07,0,0,26.84049,temperature
2018-09-07,0,1,26.83317333,temperature
2018-09-07,0,1.6,26.90066667,temperature
2018-09-07,0,2,25.36637667,temperature
2018-09-07,0,3,21.941315,temperature
2018-09-07,0,4,16.48199,temperature
2018-09-07,0,5,13.00371167,temperature
2018-09-07,0,6,12.18851833,temperature
2018-09-07,0,7,12.18238833,temperature
2018-09-07,0,8,12.166855,temperature
2018-09-07,0,9,12.1733675,temperature
2018-09-08,0,0,26.80275167,temperature
2018-09-08,0,1,26.78866,temperature
2018-09-08,0,1.6,26.8525,temperature
2018-09-08,0,2,25.62221833,temperature
2018-09-08,0,3,21.67887167,temperature
2018-09-08,0,4,17.01405667,temperature
2018-09-08,0,5,12.63290583,temperature
2018-09-08,0,6,12.228445,temperature
2018-09-08,0,7,12.223785,temperature
2018-09-08,0,8,12.20709333,temperature
2018-09-08,0,9,12.2133225,temperature
2018-09-09,0,0,25.54171167,temperature
2018-09-09,0,1,25.53749167,temperature
2018-09-09,0,1.6,25.59916667,temperature
2018-09-09,0,2,25.48214167,temperature
2018-09-09,0,3,21.56035167,temperature
2018-09-09,0,4,17.043475,temperature
2018-09-09,0,5,12.73590917,temperature
2018-09-09,0,6,12.268615,temperature
2018-09-09,0,7,12.25726167,temperature
2018-09-09,0,8,12.24069333,temperature
2018-09-09,0,9,12.24247583,temperature
2018-09-10,0,0,24.153535,temperature
2018-09-10,0,1,24.15048167,temperature
2018-09-10,0,1.6,24.20216667,temperature
2018-09-10,0,2,24.09602833,temperature
2018-09-10,0,3,21.84321667,temperature
2018-09-10,0,4,16.721985,temperature
2018-09-10,0,5,13.07147833,temperature
2018-09-10,0,6,12.292895,temperature
2018-09-10,0,7,12.28869833,temperature
2018-09-10,0,8,12.272085,temperature
2018-09-10,0,9,12.28063583,temperature
2018-09-11,0,0,23.57630833,temperature
2018-09-11,0,1,23.57865333,temperature
2018-09-11,0,1.6,23.6195,temperature
2018-09-11,0,2,23.541315,temperature
2018-09-11,0,3,21.80126,temperature
2018-09-11,0,4,16.65954167,temperature
2018-09-11,0,5,13.03698,temperature
2018-09-11,0,6,12.32552667,temperature
2018-09-11,0,7,12.29463167,temperature
2018-09-11,0,8,12.27158167,temperature
2018-09-11,0,9,12.24877833,temperature
2018-09-12,0,0,23.75714167,temperature
2018-09-12,0,1,23.75190833,temperature
2018-09-12,0,1.6,23.7955,temperature
2018-09-12,0,2,23.52788333,temperature
2018-09-12,0,3,21.89111833,temperature
2018-09-12,0,4,16.57291667,temperature
2018-09-12,0,5,13.3401375,temperature
2018-09-12,0,6,12.338735,temperature
2018-09-12,0,7,12.29574333,temperature
2018-09-12,0,8,12.26723167,temperature
2018-09-12,0,9,12.2178425,temperature
2018-09-13,0,0,23.95881167,temperature
2018-09-13,0,1,23.95939167,temperature
2018-09-13,0,1.6,24.00466667,temperature
2018-09-13,0,2,23.34049833,temperature
2018-09-13,0,3,22.26113333,temperature
2018-09-13,0,4,17.666215,temperature
2018-09-13,0,5,13.99902667,temperature
2018-09-13,0,6,12.47722167,temperature
2018-09-13,0,7,12.30594333,temperature
2018-09-13,0,8,12.26382,temperature
2018-09-13,0,9,12.24070417,temperature
2018-09-14,0,0,24.519255,temperature
2018-09-14,0,1,24.53481167,temperature
2018-09-14,0,1.6,24.589,temperature
2018-09-14,0,2,24.52463167,temperature
2018-09-14,0,3,22.43412,temperature
2018-09-14,0,4,19.133905,temperature
2018-09-14,0,5,14.61927583,temperature
2018-09-14,0,6,12.96203333,temperature
2018-09-14,0,7,12.36777167,temperature
2018-09-14,0,8,12.271825,temperature
2018-09-14,0,9,12.253375,temperature
2018-09-15,0,0,23.99264167,temperature
2018-09-15,0,1,24.01291333,temperature
2018-09-15,0,1.6,24.05816667,temperature
2018-09-15,0,2,24.00962833,temperature
2018-09-15,0,3,23.340905,temperature
2018-09-15,0,4,20.03366667,temperature
2018-09-15,0,5,15.94453333,temperature
2018-09-15,0,6,13.71457333,temperature
2018-09-15,0,7,12.60806667,temperature
2018-09-15,0,8,12.35746333,temperature
2018-09-15,0,9,12.28412333,temperature
