datetime,site_id,variable,observation
2022-09-17,fcre,OGM_poc,18.9458
2022-09-17,fcre,OGM_don,1.3879
2022-09-17,fcre,OGM_donr,12.4914
2022-09-17,fcre,OGM_pon,2.7759
2022-09-17,fcre,OGM_dop,0.0415
2022-09-17,fcre,OGM_dopr,0.3738
2022-09-17,fcre,OGM_pop,0.969
2022-09-17,fcre,PHY_cyano,0
2022-09-17,fcre,PHY_green,0
2022-09-17,fcre,PHY_diatom,0
2022-09-18,fcre,FLOW,0.0032
2022-09-18,fcre,TEMP,16.9669
2022-09-18,fcre,SALT,0
2022-09-18,fcre,OXY_oxy,284.3086
2022-09-18,fcre,CAR_dic,90.963
2022-09-18,fcre,CAR_ch4,NA
2022-09-18,fcre,SIL_rsi,120.9013
2022-09-18,fcre,NIT_amm,1.0575
2022-09-18,fcre,NIT_nit,0.9231
2022-09-18,fcre,PHS_frp,0.2025
2022-09-18,fcre,OGM_doc,13.002
2022-09-18,fcre,OGM_docr,175.5268
2022-09-18,fcre,OGM_poc,18.8529
2022-09-18,fcre,OGM_don,1.4723
2022-09-18,fcre,OGM_donr,13.2508
2022-09-18,fcre,OGM_pon,2.9446
2022-09-18,fcre,OGM_dop,0.0436
2022-09-18,fcre,OGM_dopr,0.3927
2022-09-18,fcre,OGM_pop,1.0181
2022-09-18,fcre,PHY_cyano,0
2022-09-18,fcre,PHY_green,0
2022-09-18,fcre,PHY_diatom,0
2022-09-19,fcre,FLOW,0.0032
2022-09-19,fcre,TEMP,17.7688
2022-09-19,fcre,SALT,0
2022-09-19,fcre,OXY_oxy,279.6029
2022-09-19,fcre,CAR_dic,91.256
2022-09-19,fcre,CAR_ch4,NA
2022-09-19,fcre,SIL_rsi,120.9013
2022-09-19,fcre,NIT_amm,0.9807
2022-09-19,fcre,NIT_nit,0.8883
2022-09-19,fcre,PHS_frp,0.2009
2022-09-19,fcre,OGM_doc,12.9379
2022-09-19,fcre,OGM_docr,174.6621
2022-09-19,fcre,OGM_poc,18.76
2022-09-19,fcre,OGM_don,1.5567
2022-09-19,fcre,OGM_donr,14.0103
2022-09-19,fcre,OGM_pon,3.1134
2022-09-19,fcre,OGM_dop,0.0457
2022-09-19,fcre,OGM_dopr,0.4116
2022-09-19,fcre,OGM_pop,1.0672
2022-09-19,fcre,PHY_cyano,0
2022-09-19,fcre,PHY_green,0
2022-09-19,fcre,PHY_diatom,0
2022-09-20,fcre,FLOW,0.0032
2022-09-20,fcre,TEMP,18.5188
2022-09-20,fcre,SALT,0
2022-09-20,fcre,OXY_oxy,275.3262
2022-09-20,fcre,CAR_dic,91.5489
2022-09-20,fcre,CAR_ch4,NA
2022-09-20,fcre,SIL_rsi,120.9013
2022-09-20,fcre,NIT_amm,0.904
2022-09-20,fcre,NIT_nit,0.8536
2022-09-20,fcre,PHS_frp,0.1993
2022-09-20,fcre,OGM_doc,12.8739
2022-09-20,fcre,OGM_docr,173.7975
2022-09-20,fcre,OGM_poc,18.6671
2022-09-20,fcre,OGM_don,1.6411
2022-09-20,fcre,OGM_donr,14.7697
2022-09-20,fcre,OGM_pon,3.2822
2022-09-20,fcre,OGM_dop,0.0478
2022-09-20,fcre,OGM_dopr,0.4306
2022-09-20,fcre,OGM_pop,1.1164
2022-09-20,fcre,PHY_cyano,0
2022-09-20,fcre,PHY_green,0
2022-09-20,fcre,PHY_diatom,0
2022-09-21,fcre,FLOW,0.003
2022-09-21,fcre,TEMP,17.894
2022-09-21,fcre,SALT,0
2022-09-21,fcre,OXY_oxy,278.8807
2022-09-21,fcre,CAR_dic,91.8419
2022-09-21,fcre,CAR_ch4,NA
2022-09-21,fcre,SIL_rsi,120.9013
2022-09-21,fcre,NIT_amm,0.8272
2022-09-21,fcre,NIT_nit,0.8189
2022-09-21,fcre,PHS_frp,0.1976
2022-09-21,fcre,OGM_doc,12.8098
2022-09-21,fcre,OGM_docr,172.9328
2022-09-21,fcre,OGM_poc,18.5743
2022-09-21,fcre,OGM_don,1.7255
2022-09-21,fcre,OGM_donr,15.5292
2022-09-21,fcre,OGM_pon,3.4509
2022-09-21,fcre,OGM_dop,0.0499
2022-09-21,fcre,OGM_dopr,0.4495
2022-09-21,fcre,OGM_pop,1.1655
2022-09-21,fcre,PHY_cyano,0
2022-09-21,fcre,PHY_green,0
2022-09-21,fcre,PHY_diatom,0
2022-09-22,fcre,FLOW,0.0029
2022-09-22,fcre,TEMP,17.8281
2022-09-22,fcre,SALT,0
2022-09-22,fcre,OXY_oxy,279.26
2022-09-22,fcre,CAR_dic,92.1348
2022-09-22,fcre,CAR_ch4,NA
2022-09-22,fcre,SIL_rsi,120.9013
2022-09-22,fcre,NIT_amm,0.7505
2022-09-22,fcre,NIT_nit,0.7841
2022-09-22,fcre,PHS_frp,0.196
2022-09-22,fcre,OGM_doc,12.7458
2022-09-22,fcre,OGM_docr,172.0681
2022-09-22,fcre,OGM_poc,18.4814
2022-09-22,fcre,OGM_don,1.8098
2022-09-22,fcre,OGM_donr,16.2886
2022-09-22,fcre,OGM_pon,3.6197
2022-09-22,fcre,OGM_dop,0.0521
2022-09-22,fcre,OGM_dopr,0.4685
2022-09-22,fcre,OGM_pop,1.2146
2022-09-22,fcre,PHY_cyano,0
2022-09-22,fcre,PHY_green,0
2022-09-22,fcre,PHY_diatom,0
2022-09-23,fcre,FLOW,0.0027
2022-09-23,fcre,TEMP,13.7475
2022-09-23,fcre,SALT,0
2022-09-23,fcre,OXY_oxy,304.7113
2022-09-23,fcre,CAR_dic,92.4278
2022-09-23,fcre,CAR_ch4,NA
2022-09-23,fcre,SIL_rsi,120.9013
2022-09-23,fcre,NIT_amm,0.6737
2022-09-23,fcre,NIT_nit,0.7494
2022-09-23,fcre,PHS_frp,0.1944
2022-09-23,fcre,OGM_doc,12.6817
2022-09-23,fcre,OGM_docr,171.2035
2022-09-23,fcre,OGM_poc,18.3885
2022-09-23,fcre,OGM_don,1.8942
2022-09-23,fcre,OGM_donr,17.0481
2022-09-23,fcre,OGM_pon,3.7885
2022-09-23,fcre,OGM_dop,0.0542
2022-09-23,fcre,OGM_dopr,0.4874
2022-09-23,fcre,OGM_pop,1.2637
2022-09-23,fcre,PHY_cyano,0
2022-09-23,fcre,PHY_green,0
2022-09-23,fcre,PHY_diatom,0
2022-09-24,fcre,FLOW,0.0028
2022-09-24,fcre,TEMP,13.9338
2022-09-24,fcre,SALT,0
2022-09-24,fcre,OXY_oxy,303.4603
2022-09-24,fcre,CAR_dic,92.7208
2022-09-24,fcre,CAR_ch4,NA
2022-09-24,fcre,SIL_rsi,120.9013
2022-09-24,fcre,NIT_amm,0.597
2022-09-24,fcre,NIT_nit,0.7146
2022-09-24,fcre,PHS_frp,0.1928
2022-09-24,fcre,OGM_doc,12.6177
2022-09-24,fcre,OGM_docr,170.3388
2022-09-24,fcre,OGM_poc,18.2957
2022-09-24,fcre,OGM_don,1.9786
2022-09-24,fcre,OGM_donr,17.8075
2022-09-24,fcre,OGM_pon,3.9572
2022-09-24,fcre,OGM_dop,0.0563
2022-09-24,fcre,OGM_dopr,0.5064
2022-09-24,fcre,OGM_pop,1.3128
2022-09-24,fcre,PHY_cyano,0
2022-09-24,fcre,PHY_green,0
2022-09-24,fcre,PHY_diatom,0
2022-09-25,fcre,FLOW,0.0031
2022-09-25,fcre,TEMP,15.0782
2022-09-25,fcre,SALT,0
2022-09-25,fcre,OXY_oxy,295.9701
2022-09-25,fcre,CAR_dic,93.0137
2022-09-25,fcre,CAR_ch4,NA
2022-09-25,fcre,SIL_rsi,120.9013
2022-09-25,fcre,NIT_amm,0.5202
2022-09-25,fcre,NIT_nit,0.6799
2022-09-25,fcre,PHS_frp,0.1912
2022-09-25,fcre,OGM_doc,12.5536
2022-09-25,fcre,OGM_docr,169.4742
2022-09-25,fcre,OGM_poc,18.2028
2022-09-25,fcre,OGM_don,2.063
2022-09-25,fcre,OGM_donr,18.5669
2022-09-25,fcre,OGM_pon,4.126
2022-09-25,fcre,OGM_dop,0.0584
2022-09-25,fcre,OGM_dopr,0.5253
2022-09-25,fcre,OGM_pop,1.362
2022-09-25,fcre,PHY_cyano,0
2022-09-25,fcre,PHY_green,0
2022-09-25,fcre,PHY_diatom,0
2022-09-26,fcre,FLOW,0.0032
2022-09-26,fcre,TEMP,15.0428
2022-09-26,fcre,SALT,0
2022-09-26,fcre,OXY_oxy,296.1969
2022-09-26,fcre,CAR_dic,93.3067
2022-09-26,fcre,CAR_ch4,NA
2022-09-26,fcre,SIL_rsi,120.9013
2022-09-26,fcre,NIT_amm,0.4435
2022-09-26,fcre,NIT_nit,0.6452
2022-09-26,fcre,PHS_frp,0.1895
2022-09-26,fcre,OGM_doc,12.4896
2022-09-26,fcre,OGM_docr,168.6095
2022-09-26,fcre,OGM_poc,18.1099
2022-09-26,fcre,OGM_don,2.1474
2022-09-26,fcre,OGM_donr,19.3264
2022-09-26,fcre,OGM_pon,4.2948
2022-09-26,fcre,OGM_dop,0.0605
2022-09-26,fcre,OGM_dopr,0.5443
2022-09-26,fcre,OGM_pop,1.4111
2022-09-26,fcre,PHY_cyano,0
2022-09-26,fcre,PHY_green,0
2022-09-26,fcre,PHY_diatom,0
2022-09-27,fcre,FLOW,0.0029
2022-09-27,fcre,TEMP,13.1493
2022-09-27,fcre,SALT,0
2022-09-27,fcre,OXY_oxy,308.7922
2022-09-27,fcre,CAR_dic,90.0423
2022-09-27,fcre,CAR_ch4,NA
2022-09-27,fcre,SIL_rsi,120.9013
2022-09-27,fcre,NIT_amm,0.4593
2022-09-27,fcre,NIT_nit,0.5945
2022-09-27,fcre,PHS_frp,0.185
2022-09-27,fcre,OGM_doc,13.0843
2022-09-27,fcre,OGM_docr,176.6385
2022-09-27,fcre,OGM_poc,18.9723
2022-09-27,fcre,OGM_don,2.0287
2022-09-27,fcre,OGM_donr,18.2581
2022-09-27,fcre,OGM_pon,4.0574
2022-09-27,fcre,OGM_dop,0.0571
2022-09-27,fcre,OGM_dopr,0.5141
2022-09-27,fcre,OGM_pop,1.3329
2022-09-27,fcre,PHY_cyano,0
2022-09-27,fcre,PHY_green,0
2022-09-27,fcre,PHY_diatom,0
2022-09-28,fcre,FLOW,0.0028
2022-09-28,fcre,TEMP,11.8679
2022-09-28,fcre,SALT,0
2022-09-28,fcre,OXY_oxy,317.8678
2022-09-28,fcre,CAR_dic,86.7779
2022-09-28,fcre,CAR_ch4,NA
2022-09-28,fcre,SIL_rsi,120.9013
2022-09-28,fcre,NIT_amm,0.4751
2022-09-28,fcre,NIT_nit,0.5438
2022-09-28,fcre,PHS_frp,0.1805
2022-09-28,fcre,OGM_doc,13.6791
2022-09-28,fcre,OGM_docr,184.6675
2022-09-28,fcre,OGM_poc,19.8347
2022-09-28,fcre,OGM_don,1.91
2022-09-28,fcre,OGM_donr,17.1899
2022-09-28,fcre,OGM_pon,3.82
2022-09-28,fcre,OGM_dop,0.0538
2022-09-28,fcre,OGM_dopr,0.4839
2022-09-28,fcre,OGM_pop,1.2547
2022-09-28,fcre,PHY_cyano,0
2022-09-28,fcre,PHY_green,0
2022-09-28,fcre,PHY_diatom,0
2022-09-29,fcre,FLOW,0.0028
2022-09-29,fcre,TEMP,11.9943
2022-09-29,fcre,SALT,0
2022-09-29,fcre,OXY_oxy,316.9519
2022-09-29,fcre,CAR_dic,83.5136
2022-09-29,fcre,CAR_ch4,NA
2022-09-29,fcre,SIL_rsi,120.9013
2022-09-29,fcre,NIT_amm,0.491
2022-09-29,fcre,NIT_nit,0.4931
2022-09-29,fcre,PHS_frp,0.176
2022-09-29,fcre,OGM_doc,14.2738
2022-09-29,fcre,OGM_docr,192.6966
2022-09-29,fcre,OGM_poc,20.697
2022-09-29,fcre,OGM_don,1.7913
2022-09-29,fcre,OGM_donr,16.1216
2022-09-29,fcre,OGM_pon,3.5826
2022-09-29,fcre,OGM_dop,0.0504
2022-09-29,fcre,OGM_dopr,0.4538
2022-09-29,fcre,OGM_pop,1.1764
2022-09-29,fcre,PHY_cyano,0
2022-09-29,fcre,PHY_green,0
2022-09-29,fcre,PHY_diatom,0
2022-09-30,fcre,FLOW,0.0051
2022-09-30,fcre,TEMP,11.2686
2022-09-30,fcre,SALT,0
2022-09-30,fcre,OXY_oxy,322.2762
2022-09-30,fcre,CAR_dic,80.2492
2022-09-30,fcre,CAR_ch4,NA
2022-09-30,fcre,SIL_rsi,120.9013
2022-09-30,fcre,NIT_amm,0.5068
2022-09-30,fcre,NIT_nit,0.4424
2022-09-30,fcre,PHS_frp,0.1715
2022-09-30,fcre,OGM_doc,14.8686
2022-09-30,fcre,OGM_docr,200.7256
2022-09-30,fcre,OGM_poc,21.5594
2022-09-30,fcre,OGM_don,1.6726
