datetime,site_id,variable,observation
2013-05-30,fcre,OGM_pon,2.2995
2013-05-30,fcre,OGM_dop,0.031
2013-05-30,fcre,OGM_dopr,0.2793
2013-05-30,fcre,OGM_pop,0.724
2013-05-30,fcre,PHY_cyano,0
2013-05-30,fcre,PHY_green,0
2013-05-30,fcre,PHY_diatom,0
2013-05-31,fcre,FLOW,0.0118
2013-05-31,fcre,TEMP,17.0898
2013-05-31,fcre,SALT,0
2013-05-31,fcre,OXY_oxy,283.5781
2013-05-31,fcre,CAR_dic,64.9399
2013-05-31,fcre,CAR_ch4,NA
2013-05-31,fcre,SIL_rsi,120.9013
2013-05-31,fcre,NIT_amm,0.2436
2013-05-31,fcre,NIT_nit,1.012
2013-05-31,fcre,PHS_frp,0.1447
2013-05-31,fcre,OGM_doc,14.9664
2013-05-31,fcre,OGM_docr,202.0468
2013-05-31,fcre,OGM_poc,21.7013
2013-05-31,fcre,OGM_don,1.1482
2013-05-31,fcre,OGM_donr,10.3334
2013-05-31,fcre,OGM_pon,2.2963
2013-05-31,fcre,OGM_dop,0.0309
2013-05-31,fcre,OGM_dopr,0.2783
2013-05-31,fcre,OGM_pop,0.7214
2013-05-31,fcre,PHY_cyano,0
2013-05-31,fcre,PHY_green,0
2013-05-31,fcre,PHY_diatom,0
2013-06-01,fcre,FLOW,0.0116
2013-06-01,fcre,TEMP,17.2943
2013-06-01,fcre,SALT,0
2013-06-01,fcre,OXY_oxy,282.3703
2013-06-01,fcre,CAR_dic,64.9521
2013-06-01,fcre,CAR_ch4,NA
2013-06-01,fcre,SIL_rsi,120.9013
2013-06-01,fcre,NIT_amm,0.2346
2013-06-01,fcre,NIT_nit,1.0289
2013-06-01,fcre,PHS_frp,0.1452
2013-06-01,fcre,OGM_doc,14.9651
2013-06-01,fcre,OGM_docr,202.029
2013-06-01,fcre,OGM_poc,21.6994
2013-06-01,fcre,OGM_don,1.1466
2013-06-01,fcre,OGM_donr,10.319
2013-06-01,fcre,OGM_pon,2.2931
2013-06-01,fcre,OGM_dop,0.0308
2013-06-01,fcre,OGM_dopr,0.2773
2013-06-01,fcre,OGM_pop,0.7188
2013-06-01,fcre,PHY_cyano,0
2013-06-01,fcre,PHY_green,0
2013-06-01,fcre,PHY_diatom,0
2013-06-02,fcre,FLOW,0.0133
2013-06-02,fcre,TEMP,16.9459
2013-06-02,fcre,SALT,0
2013-06-02,fcre,OXY_oxy,284.4333
